gold_id,is_common_sample,assigned_to,candidate_group,rating,rating_num,content_norm,goods_name,brand_name,option_text,analysis_category,survey_size,survey_color,survey_thickness,survey_stretch,strong_complaint_matches,weak_topic_matches,risky_common_matches,positive_matches,has_contrast_marker,late_delivery,wrong_item,missing_item,damaged_on_arrival,packaging_issue,size_large,size_small,fit_dissatisfaction,finish_defect,durability,contamination,fabric_issue,thickness,poor_comfort,color_mismatch,design_mismatch,price_dissatisfaction,other_complaint,uncertain,labeler,label_notes,is_complaint_auto,coarse_labels_auto,review_id,goods_no,,label_notes,의논여부,,cross_notes
G0001,0,member2,partial_complaint_in_rating5,5,5,타이트하게 꽉 핏인데 너무 마음에 들어요! 대신 소매가 좀 짧네요. 일상에서 편하게 입으려면 엑스라지 추천,테크 1/2 집 긴팔 1328495-001,언더아머,L,상의,,,,,타이트하게,핏,"들, 면, 하게, 들어, 타, 추천, 편하게, 소매","들어요, 마음에, 너무 마음에, 너무 마음에 들어요",TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,83279458,2710158,,,,,
G0002,,member4,clear_non_complaint_rating5,5,5,사이즈 딱 좋고 질도 좋아 오래 입을수 있겠네요ㅎ 대만족입니다,바시티 숏 슬리브,에이치덱스,멜란지화이트 · XL,상의,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,77483807,3894116,,,,,
G0003,0,member5,partial_complaint_in_rating5,5,5,"재질도 쫀쫀하게 마감 잘 되있는 것 같고, 색감도 빈티지스럽게 너무 좋아요",월드클래스 피그먼트 맨투맨 티셔츠 네이비 FMT751,플루크,네이비 · M,상의,정사이즈,화면과 비슷,적당함,,마감,"색, 색감, 색감도","좋아, 잘, 하게, 질, 재질, 티","좋아요, 너무 좋아요, 재질도",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member5,,,,83093053,3113692,,,,,
G0004,0,member1,mixed_or_partial_rating4,4,4,"가성비가 좋은 피케이셔츠입니다. 원단도 괜찮고 세탁후 수축도 별로 없습니다. 핏은 정핏에 일자핏인데 허리라인이 들어가 있는 스타일음 아니라 어깨나 등사이즈에 맞추면 허리가 엄청 벙벙해지긴 합니다. 사이즈에 관해서는, 처음에 L사이즈를 구매해서 입다가 너무 딱핏으로 타이트해서 한사이즈 크게 다시 구매했습니다. 생각보다 사이즈가 타이트하게 나온 편 같은데 이왕이면 평소사이즈보다 1사이즈 업 하시길 추천드립니다",베이식 피케 폴로 셔츠 [크림],무신사 스탠다드,XL,상의,,,,,"별로, 타이트하게","사이즈, 핏, 가성비, 허리, 사이즈가, 원단, 핏으로, 핏은, 허리가, 한사이즈, 원단도, 사이즈에, 가성비가, 사이즈보다, 한사이즈 크게, 생각보다 사이즈가","다, 들, 면, 수, 해서, 합니다, 하게, 으로, 딱, 보다, 들어, 입니다, 생각, 좋은, 긴, 생각보다, 타, 추천, 엄청, 스타일, 했습니다, 같은, 들어가, 처음, 등, 크게, 평소, 라인, 아니라, 괜찮고",구매했습니다,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,member1,,,,78313563,1387960,,어깨나 등사이즈에 맞추면 허리가 엄청 벙벙해지긴 합니다. > 특정 부위 사이즈에 맞추면 기대하는 핏과 다르게 나온다는 점에서 핏 불만족체크,,,
G0005,0,member5,partial_complaint_in_rating5,5,5,셋업으로 샀습니다. 총알배송에 무신사스탠다드 옷걸이까지 좋네요. 단정하고 코디 폭도 넓어서 좋아요 핏도 좋구요 사이즈는 살짝 커요 착용감 편합니다,오버사이즈 레이어드 블레이저 [미디엄 그레이],무신사 스탠다드,XL,아우터,,,,,커요,"사이즈, 핏, 배송, 핏도, 사이즈는","다, 좋아, 합니다, 으로, 옷, 살, 착용, 살짝, 까지, 무신사, 넓어","좋아요, 좋네요, 편합니다, 샀습니다, 좋구요, 좋구, 착, 코디",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member5,,,,55445923,3092771,,,,,
G0006,0,member5,clear_non_complaint_rating5,5,5,너무 좋고 편하고 좋습니다 감사드립니다 편합니다,메인로고 밸런스 나시,에이치덱스,네이비 · M,상의,,,,,,,"다, 합니다, 드립니다","좋고, 편하고, 좋습니다, 너무 좋고, 편합니다, 편하고 좋습니다",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member5,,,,56677458,2231713,,,,,
G0007,0,member3,clear_complaint_low_rating,2,2,"** 양말이나 신발 닿는 바지, 혹은 끈에서 검은 무언가 묻어나옵니다 ** 우선 이 신발은 발 끝이 뭉툭해서 발가락 그부분이 널널한 공간이 나오구요, 가죽이 부드럽고 아래 쿠셔닝이 잘 되어있어 진짜 왠만한 스니커즈 보다 편하네요 다만 사이즈가 참 애매해서요. 제가 정장구두 255 신고 실제 발 크기가 265 인데, 이건 260으로 했거든요. 힐슬립이 약간?? 일어나진 않지만 뒷꿈치 까임이 일어날것도 같지만? 나진 않네요 우선 칼발 기준 실측 265라면, 255 신어보고 너무 꽉낀다 싶을때 260으로 교환하시길!!",OFFICE - 111 (a),킨치,260,신발,조금 큼,,,,교환,"사이즈, 사이즈가","다, 잘, 면, 해서, 으로, 때, 보다, 있어, 바지, 날, 하네요, 신발, 되어, 제가, 보고, 끈, 다만, 크기, 신고, 가죽, 기준, 공간이, 양말",부드럽고,TRUE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,member3,,,,82297214,2735953,,,,,
G0008,0,member5,partial_complaint_in_rating5,5,5,브라운에 베이지 두 줄 포인트가 예뻐서 구매했는데 역시 넘 귀여워요! 사이즈는 엄청 쫙 달라붙는건 아니지만 바스트가 있으시면 살짝 타이트하게 느껴질 수 있을 듯 해요.,W LLF UNIFORM S/S TEE(BROWN),해비즘,ONE SIZE,상의,,,,,타이트하게,"사이즈, 사이즈는","면, 수, 하게, 질, 해요, 했는데, 살, 듯, 타, 살짝, 엄청, 넘, 있을, 수 있을, 구매했는데, 예뻐서, 베이지, 브라운","역시, 귀여워요, 포인트가, 포인트",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member5,,,,77982287,4036562,,,,,
G0009,,member4,clear_complaint_low_rating,3,3,옷은 쫀쫀하고 이쁜데 보풀이 많이 일어나네요...아쉬운 부분입니다!,우먼즈 텐셀 턴 다운 오프 숄더 긴소매 티셔츠 [블랙],무신사 스탠다드 우먼,S,상의,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,member4,,,,73614650,4227324,,,,,
G0010,0,member1,clear_non_complaint_rating5,5,5,사이즈가 없어서 알림신청해서 구매핬는데 색상도 화면이랑 똑같고 너무 이뿝니다 그레이 원턱바지랑 코디하니 찰떡이네요 간절기에 필요한 가디건 찾고 있었는데 잘 한거 같아요~~,[COUTURE]세미 오버핏 가디건 - 2color MYCD2170,마인드브릿지,BL · 100,아우터,,,,,,"색, 사이즈, 색상, 사이즈가, 색상도, 화면","다, 잘, 면, 같아, 해서, 같아요, 바지, 거 같아요, 필요, 없어서, 그레이","찾고, 찾고 있었는데, 있었는데, 코디",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,66569084,3796557,,불만없음,,,
